Domaine;Produit;Entreprise;Année(s) de stage(s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue de l'entreprise;Ville de l'entreprise;Code postal de l'entreprise;Tel entreprise;Google Maps;Longitude Latitude;Plus Code;Directeur;;;;;;Rang A et i;Entreprise et Rang A et i;Rang  i;Entreprise et  Rang  i;2030;2029;2028;2027;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;Points A  et  i;Points  i;;;A;B;C;D;E;;;F;G;H;I;J
Pharmaceutique;Médicaments;Delpharm Reims;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10, rue colonel Charbonneaux;Reims;51100;326888110;https://www.linkedin.com/company/delpharmreims/?originalSubdomain=fr;49.2727416824859,  4.003045026580413 ;72F3+26 Reims;;;;;;;31;N° 31 Delpharm Reims;17;N° 17 Delpharm Reims;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;sucrerie;Cristal union, Bazancourt;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115, rue de Pomacle;Bazancourt;51110;03 26 03 31 81;https://www.linkedin.com/company/cristal-union/?originalSubdomain=fr;49.35053765521716, 4.16640323758108;;;;;;;;32;N° 32 Cristal union, Bazancourt;18;N° 18 Cristal union, Bazancourt;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cosmétique;Produits cosmétiques;Givaudan;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Route de Bazancourt;Pomacle;51110;03 33 26 88 84 10;https://fr.linkedin.com/company/givaudan;49.34605589439471, 4.16102316839083;;;;;;;;32;N° 32 Givaudan;19;N° 19 Givaudan;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;moutarderie;Moutarderie Bister France, St Thibault;"               ; 2016=1   ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue de l'Écluse;Saint-Thibault;10800;03 25 43 30 02;https://www.bioster.fr/;48.22326436776116, 4.130717400269605;;;;;;;;29;N° 29 Moutarderie Bister France, St Thibault;34;N° 34 Moutarderie Bister France, St Thibault;;;;;;;;;0;0;0;0;;;1;;;;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Alimentaire;fromagerie;Fromagerie LAISTELLE;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27 bis rue du Pâtis;GRASSIGNY-CHEMIN;52150;06 19 76 29 02;https://www.fromagerie-laistelle.fr/nos-produits/;48.166231227415075, 5.634658105273315;;;;;;;;28;N° 28 Fromagerie LAISTELLE;34;N° 34 Fromagerie LAISTELLE;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Champagne;Moët et Chandon;"        ;2022=1         ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20 Av. de Champagne;Épernay;51200;03 26 51 21 00;https://www.moet.com/fr-fr/visit-us;49.04314908468109, 3.9596984759846503;;;;;;;;28;N° 28 Moët et Chandon;34;N° 34 Moët et Chandon;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Boulangerie industrielle;Le Bon Pain de France;"        ;2022=2 ; 2021=2 ; 2020=1       ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 Rue des Maraichers;Saint-Adré-les-Vergers;10120;03 25 45 12 5;http://www.bonpaindefrance.com/;48.270692750770586, 4.0464962018299815;;;;;;;;1;N° 1 Le Bon Pain de France;4;N° 4 Le Bon Pain de France;;;;;;;;;2;2;1;;;;;;;;24;10;0;0;2;1;0;0;0;0;0;2;0;0;0;0
Médical;Hôpital;Hôpital Simone Veil (Troyes);";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101 Avenue Anatole France;Troyes;10000;03 25 49 49 60;https://fr.linkedin.com/company/centre-hospitalier-de-troyes;48.27925022914768, 4.0680746183111705;;;;;;;;28;N° 28 Hôpital Simone Veil (Troyes);34;N° 34 Hôpital Simone Veil (Troyes);;;;;;;;;1;;;;;;;;;;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Farine;MINOTERIE GIRARDEAU;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZI LE FROMENTEAU;BOUSSAY;44190;02 40 06 86 86;https://fr.linkedin.com/company/minoterie-girardeau;47.05932601130899, -1.1863253402368705;;;;;;;;28;N° 28 MINOTERIE GIRARDEAU;34;N° 34 MINOTERIE GIRARDEAU;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Médical;Laboratoire;Laboratoire LAVAD 10 ;"        ;2022=1         ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chemin des champs de la loge;Troyes;10006;03 25 42 52 00;https://www.aube.fr/106-laboratoire-departemental-d-analyses.htm;48.315182625159295, 4.06959789657224;;;;;;;;28;N° 28 Laboratoire LAVAD 10 ;34;N° 34 Laboratoire LAVAD 10 ;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
